Zone,Scenario,Projected_Rate_Pct,Increase_Over_Zone_Baseline_Pct
Zone 1 (Central),S1: Baseline,22.4,0.0
Zone 1 (Central),S2: Full Awareness (C3=1 for all),27.5,5.1
Zone 1 (Central),S3: Dual Intervention (Awareness + Reduced Tax Anxiety),27.3,4.9
Zone 1 (Central),S4: Triple Intervention (S3 + Customer Demand Push),24.2,1.9
Zone 2 (Secondary),S1: Baseline,23.0,0.0
Zone 2 (Secondary),S2: Full Awareness (C3=1 for all),29.4,6.4
Zone 2 (Secondary),S3: Dual Intervention (Awareness + Reduced Tax Anxiety),29.2,6.2
Zone 2 (Secondary),S4: Triple Intervention (S3 + Customer Demand Push),26.1,3.0
Zone 3 (Neighbourhood),S1: Baseline,11.7,0.0
Zone 3 (Neighbourhood),S2: Full Awareness (C3=1 for all),15.6,4.0
Zone 3 (Neighbourhood),S3: Dual Intervention (Awareness + Reduced Tax Anxiety),15.5,3.8
Zone 3 (Neighbourhood),S4: Triple Intervention (S3 + Customer Demand Push),13.6,1.9
