Variable,AME,SE,z,p_value,CI_lower,CI_upper,sig
C3_safe_harbour_aware,0.033,0.0372,0.889,0.374,-0.0398,0.1059,
zone1,0.0153,0.044,0.349,0.7272,-0.0709,0.1016,
zone2,-0.0053,0.0424,-0.126,0.8996,-0.0884,0.0777,
vendor_food,-0.6661,0.0902,-7.383,0.0,-0.8429,-0.4893,***
zone1_food,0.6746,0.1061,6.358,0.0,0.4666,0.8825,***
zone2_food,0.7313,0.1069,6.84,0.0,0.5218,0.9409,***
A3_years_operating,-0.0207,0.0152,-1.363,0.1728,-0.0505,0.0091,
A4_daily_revenue,0.0158,0.0156,1.009,0.3132,-0.0149,0.0464,
has_bank_account,0.0837,0.0312,2.685,0.0073,0.0226,0.1448,***
has_mobile_wallet,-0.0398,0.0341,-1.168,0.2428,-0.1065,0.027,
has_smartphone,0.0306,0.033,0.926,0.3545,-0.0341,0.0953,
factor_1,0.0263,0.0231,1.14,0.2543,-0.019,0.0716,
factor_2,-0.0203,0.0264,-0.769,0.4421,-0.0719,0.0314,
factor_3,0.0056,0.0286,0.195,0.8451,-0.0505,0.0617,
factor_4,0.0641,0.032,2.005,0.045,0.0014,0.1267,**
customer_demand_share,-0.0694,0.0773,-0.897,0.3696,-0.2209,0.0822,
D12_peer_will_register,0.0038,0.0136,0.283,0.7775,-0.0228,0.0304,
