respondent_id,A1_zone,A2_business_type,A3_years_operating,A4_daily_revenue,A5_employees,A6_bank_account,A7_mobile_wallet,A8_smartphone,B1a_qr_display,B1b_qr_registered,B2_provider,B3_daily_customers,B4_no_qr_situation,B5_received_digital,B6_inspected,C1_cashless_kp_awareness,C2_mandate_awareness,C3_safe_harbour_aware,C4_tax_burden_belief,C5_payment_trust,C6_record_fear,C7_training_received,C8_would_register_if_no_tax,C9_dispute_resolution_aware,D1_no_smartphone,D2_internet_unreliable,D3_dont_know_how,D4_process_complex,D5_fees_high,D6_customers_prefer_cash,D7_audit_fear,D8_distrust_safety,D9_amounts_too_small,D10_no_peer_pressure,D11_customer_demand_est,D12_peer_will_register,E1_willingness,E2_pref_1,E2_pref_2,E3_paymir_awareness,E4_cash_incentive_effect,E5_trusted_info_source,E6_followup_consent,F1_open_ended,B1b_registered_binary,vendor_food,has_bank_account,has_mobile_wallet,has_smartphone
KHT-0001,3,2,4,3,1,3,3,2,1,1.0,2.0,4.0,,3,2,3,2,0,1,3,1,4,2,0,2,2,3,3,3,4,4,5,2,2,1,4,3,3,1,2,3,4,2,Registration ka tareeqa bohat mushkil lagta hai,1,0,0,0,0
KHT-0002,3,2,4,3,1,1,3,1,1,1.0,3.0,3.0,,3,2,3,2,1,4,1,3,4,3,0,2,3,4,3,2,4,2,1,1,2,4,3,4,1,4,3,2,6,1,Hamari dukan chhoti hai digital ki zaroorat nahi,1,0,1,0,1
KHT-0003,1,1,3,2,1,2,1,2,0,,,,3.0,2,2,2,1,1,1,3,1,3,5,0,3,1,2,2,2,4,1,3,3,2,1,5,2,7,4,3,2,1,1,Jab safe harbour ka pata chala to main ne register kar liya,0,1,0,1,0
KHT-0004,1,2,2,1,1,3,1,2,0,,,,3.0,3,1,3,2,0,2,4,4,4,2,0,2,2,3,2,3,4,3,2,1,1,2,3,2,5,6,2,4,2,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,0,1,0
KHT-0005,2,2,4,3,1,3,1,1,1,2.0,1.0,1.0,,2,2,3,2,0,1,3,3,4,3,0,2,4,3,2,1,5,5,2,2,4,0,3,2,7,2,2,1,2,1,Fees zyada hain wallets ki,0,0,0,1,1
KHT-0006,3,1,3,3,2,1,3,2,0,,,,2.0,1,2,3,2,0,2,4,1,4,1,0,2,2,3,3,5,5,2,2,1,2,3,2,1,6,2,3,2,7,2,Mere grahak cash hi dete hain,0,1,1,0,0
KHT-0007,2,2,2,3,4,2,1,1,0,,,,4.0,1,1,3,1,0,1,2,2,3,1,0,1,2,2,3,2,4,4,3,3,3,3,5,2,3,2,2,2,4,1,Mere grahak cash hi dete hain,0,0,0,1,1
KHT-0008,2,3,1,3,1,3,1,2,0,,,,4.0,3,2,3,3,1,2,2,4,4,2,0,2,2,1,3,4,2,3,2,2,2,3,5,3,6,4,3,4,5,2,Internet sahi nahi hota yahan,0,0,0,1,0
KHT-0009,2,3,2,3,1,3,3,1,0,,,,2.0,3,1,3,1,0,1,4,2,4,5,0,1,2,3,4,3,1,4,3,3,4,0,5,2,5,1,3,2,6,2,Darr hai ke FBR aa jaye ga,0,0,0,0,1
KHT-0010,2,5,4,2,1,1,1,1,0,,,,3.0,2,2,3,3,0,2,2,3,4,5,1,4,2,1,5,2,3,5,1,1,1,1,3,3,5,6,3,4,2,2,Mujhe pata nahi tha ke kaise register karein,0,0,1,1,1
KHT-0011,1,6,3,3,1,3,1,1,1,2.0,1.0,4.0,,3,1,1,1,0,1,1,1,1,4,0,1,3,4,3,4,3,2,2,1,2,2,4,4,5,7,3,1,7,2,Darr hai ke FBR aa jaye ga,0,0,0,1,1
KHT-0012,1,1,2,4,2,3,3,1,1,2.0,2.0,2.0,,3,2,3,1,0,2,4,4,2,1,0,1,3,2,3,2,2,1,1,2,3,6,3,1,3,4,3,3,3,2,Hamari dukan chhoti hai digital ki zaroorat nahi,0,1,0,0,1
KHT-0013,2,2,3,2,2,3,3,2,0,,,,3.0,3,2,3,2,1,3,3,3,3,1,1,3,1,2,1,1,4,3,2,1,1,2,5,3,3,7,3,2,5,1,Jab safe harbour ka pata chala to main ne register kar liya,0,0,0,0,0
KHT-0014,1,3,2,1,3,3,3,2,0,,,,2.0,2,2,1,2,0,3,2,1,4,1,0,3,2,4,1,2,1,2,3,2,3,2,2,1,5,4,3,2,6,2,Internet sahi nahi hota yahan,0,0,0,0,0
KHT-0015,2,6,3,4,1,2,3,1,0,,,,4.0,3,1,2,1,1,2,3,2,4,1,0,1,3,2,4,4,3,3,1,1,3,1,2,4,5,4,3,5,7,1,Fees zyada hain wallets ki,0,0,0,0,1
KHT-0016,3,4,2,1,1,3,2,3,0,,,,4.0,2,2,2,2,0,2,3,2,4,1,1,2,1,3,2,1,4,4,2,4,2,3,4,1,4,1,3,3,2,2,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,0,0
