Variable,Code,Label,N,Pct
C1_cashless_kp_awareness,1,Know it well,28,9.3
C1_cashless_kp_awareness,2,Heard but unsure,71,23.7
C1_cashless_kp_awareness,3,Never heard,201,67.0
C2_mandate_awareness,1,Aware,54,18.0
C2_mandate_awareness,2,Not aware,172,57.3
C2_mandate_awareness,3,Not sure,74,24.7
C3_safe_harbour_aware,0,Not aware (incorrect),227,75.7
C3_safe_harbour_aware,1,Aware (correct),73,24.3
C9_dispute_resolution_aware,0,Not aware,258,86.0
C9_dispute_resolution_aware,1,Aware,42,14.0
C7_training_received,1,Formal session,15,5.0
C7_training_received,2,Printed only,31,10.3
C7_training_received,3,Verbal from officer,53,17.7
C7_training_received,4,Nothing,201,67.0
