Variable,AME,SE,z,p_value,sig
C3_safe_harbour_aware,0.0594,0.0537,1.106,0.2689,
zone1,0.1008,0.0551,1.831,0.0671,*
zone2,0.1062,0.0544,1.954,0.0508,*
vendor_food,-0.0334,0.0464,-0.72,0.4717,
A3_years_operating,-0.0199,0.0219,-0.91,0.3627,
A4_daily_revenue,0.0216,0.0226,0.953,0.3405,
has_bank_account,0.1288,0.0441,2.922,0.0035,***
has_mobile_wallet,-0.078,0.0496,-1.574,0.1156,
has_smartphone,0.0367,0.0453,0.81,0.4179,
tax_anxiety,-0.0022,0.021,-0.105,0.9165,
payment_trust,0.0441,0.0208,2.118,0.0341,**
customer_demand_share,-0.1196,0.1123,-1.065,0.2869,
D12_peer_will_register,0.0022,0.019,0.114,0.9093,
