A1_zone,theme_code,count,pct
1,COST_BARRIER,8,8.2
1,CUSTOMER_DEMAND,18,18.4
1,INFRASTRUCTURE,12,12.2
1,POSITIVE_NUDGE,13,13.3
1,PROCESS_COMPLEXITY,16,16.3
1,SMALL_SCALE,10,10.2
1,TAX_ANXIETY,21,21.4
2,COST_BARRIER,11,11.0
2,CUSTOMER_DEMAND,20,20.0
2,INFRASTRUCTURE,14,14.0
2,POSITIVE_NUDGE,12,12.0
2,PROCESS_COMPLEXITY,17,17.0
2,SMALL_SCALE,1,1.0
2,TAX_ANXIETY,25,25.0
3,COST_BARRIER,9,8.8
3,CUSTOMER_DEMAND,20,19.6
3,INFRASTRUCTURE,8,7.8
3,POSITIVE_NUDGE,9,8.8
3,PROCESS_COMPLEXITY,26,25.5
3,SMALL_SCALE,12,11.8
3,TAX_ANXIETY,18,17.6
