,count,mean,std,min,25%,50%,75%,max,median
A3_years_operating,300.0,2.523,1.013,1.0,2.0,3.0,3.0,4.0,3.0
A4_daily_revenue,300.0,2.333,0.951,1.0,2.0,2.0,3.0,4.0,2.0
A5_employees,300.0,2.027,1.162,1.0,1.0,2.0,3.0,5.0,2.0
C4_tax_burden_belief,300.0,1.87,0.892,1.0,1.0,2.0,2.0,5.0,2.0
C5_payment_trust,300.0,2.387,1.017,1.0,2.0,2.0,3.0,5.0,2.0
C6_record_fear,300.0,1.883,0.916,1.0,1.0,2.0,2.0,5.0,2.0
D1_no_smartphone,300.0,1.833,0.853,1.0,1.0,2.0,2.0,4.0,2.0
D2_internet_unreliable,300.0,2.42,0.909,1.0,2.0,2.0,3.0,5.0,2.0
D3_dont_know_how,300.0,2.78,1.027,1.0,2.0,3.0,3.0,5.0,3.0
D4_process_complex,300.0,2.973,1.018,1.0,2.0,3.0,4.0,5.0,3.0
D5_fees_high,300.0,2.61,1.046,1.0,2.0,3.0,3.0,5.0,3.0
D6_customers_prefer_cash,300.0,3.18,0.985,1.0,3.0,3.0,4.0,5.0,3.0
D7_audit_fear,300.0,3.02,1.103,1.0,2.0,3.0,4.0,5.0,3.0
D8_distrust_safety,300.0,2.523,0.948,1.0,2.0,3.0,3.0,5.0,3.0
D9_amounts_too_small,300.0,2.32,1.007,1.0,2.0,2.0,3.0,5.0,2.0
D10_no_peer_pressure,300.0,2.803,1.027,1.0,2.0,3.0,3.0,5.0,3.0
D11_customer_demand_est,300.0,2.823,1.861,0.0,1.0,3.0,4.0,7.0,3.0
E1_willingness,300.0,2.197,1.105,1.0,1.0,2.0,3.0,5.0,2.0
