Variable,Coefficient,SE,p_value,sig
C3_safe_harbour_aware,1.6038,0.2902,0.0,***
zone1,-1.1328,0.2869,0.0001,***
zone2,-0.5406,0.2682,0.0438,**
vendor_food,-0.2789,0.2432,0.2514,
A3_years_operating,-0.1251,0.112,0.264,
A4_daily_revenue,0.2198,0.1166,0.0595,*
has_bank_account,1.1375,0.2343,0.0,***
has_mobile_wallet,0.5801,0.2417,0.0164,**
has_smartphone,-0.0566,0.2225,0.799,
tax_anxiety,-0.1776,0.1092,0.104,
payment_trust,-0.1554,0.1116,0.1638,
customer_demand_share,0.6994,0.5999,0.2437,
D12_peer_will_register,-0.0338,0.0944,0.7204,
1/2,-1.2489,0.7474,0.0947,*
2/3,0.5053,0.0921,0.0,***
3/4,0.4284,0.116,0.0002,***
4/5,0.5556,0.1787,0.0019,***
